Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Welfie,https://www.crunchbase.com/organization/welfie,"Education, Health Care, Sports",1-10,"Education, Fitness, Health Care, Wellness","San Diego, California, United States",Welfie is a school health platform helping k-12 schools deal with the health issues of their time.,"21,462",,"19,147",https://www.welfie.com,,https://www.linkedin.com/company/welfie/,,2023-06-05,Seed,150000,USD,150000
Kinspire,https://www.crunchbase.com/organization/kinspire,"Community and Lifestyle, Education, Health Care, Software",1-10,"Children, Education, Health Care, Productivity Tools","Denver, Colorado, United States",Kinspire focuses on supporting the developmental needs of children and their families through pediatric occupational therapy.,"21,480",,"19,164",https://www.kinspirehealth.com/,hello@kinspireapp.com,https://www.linkedin.com/company/kinspirehealth/,,2023-01-20,Seed,3600000,USD,3600000
Solstice Health,https://www.crunchbase.com/organization/solstice-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Medical, Oncology","New York, New York, United States",Solstice Health is an AI life sciences marketing platform that offers a clinical data retrieval platform for oncology practice.,"21,523",,"19,202",https://www.solsticehealth.co,info@solsticehealth.co,https://www.linkedin.com/company/solsticehealth,1 (267) 324-1762,2025-02-05,Seed,3500000,USD,3500000
Kavira Health,https://www.crunchbase.com/organization/kavira-health,Health Care,1-10,"Health Care, Hospital, Primary and Urgent Care","Minneapolis, Minnesota, United States","Kavira Health is a primary and urgent care clinic that provides all care virtually, and via in-person home visits","21,536",,"19,215",https://www.kavirahealth.com/,,https://www.linkedin.com/company/kavira-health,763-373-3856,2026-03-26,Venture - Series Unknown,2782500,USD,2782500
GelSana,https://www.crunchbase.com/organization/gelsana,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical Device","Aurora, Colorado, United States",GelSana Therapeutics develops novel advanced polymers to improve wound healing,"21,562",,"19,241",https://gelsanatherapeutics.com,info@gelsanatherapeutics.com,https://www.linkedin.com/company/gelsana,(720) 823-9147,2025-03-03,Seed,,,
Polaris Quantum Biotech,https://www.crunchbase.com/organization/polaris-quantum-biotech,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Health Care, Precision Medicine, Quantum Computing","Durham, North Carolina, United States",Polaris Quantum Biotech revolutionizes drug design by joining quantum computing with AI and precision medicine.,"21,577",,"19,255",https://www.polarisqb.com/,info@polarisqb.com,https://www.linkedin.com/company/polarisqb/,+1 91-9200-0592,2024-12-30,Seed,,,
NanoZymeX,https://www.crunchbase.com/organization/nanozymex,Health Care,1-10,Pharmaceutical,"Basel, Basel-Stadt, Switzerland",NanoZymeX is a nanobiotechnology startup creating next-generation enzyme replacement treatments.,"21,579",,"19,257",https://www.nanozymex.com,,https://www.linkedin.com/company/nanozymex,,2026-03-24,Grant,150000,CHF,190222
Switchback Systems,https://www.crunchbase.com/organization/switchback-systems,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Life Science","San Francisco, California, United States",Switchback Systems is an early stage startup working to democratize DNA synthesis.,"21,586",,"19,264",https://switchbacksys.com,,https://www.linkedin.com/company/switchback-sys,,2024-08-08,Venture - Series Unknown,11330258,USD,11330258
HelloRelish,https://www.crunchbase.com/organization/hellorelish,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Dating, Lifestyle, Software, Wellness","New York, New York, United States",HelloRelish is a relationship wellness app that delivers personalized plan to rebuild your relationships.,"21,616",,"19,292",https://hellorelish.com,help@hellorelish.com,https://www.linkedin.com/company/hellorelish/,(914) 341-1092,2020-04-27,Series A,5000000,USD,5000000
Nest Genomics (YC W22),https://www.crunchbase.com/organization/nest-genomics,Health Care,1-10,Health Care,"New York, New York, United States","Nest Genomics is a lab-agnostic, comprehensive software solution for implementing genomic programs at scale.","21,617",,"19,293",https://www.nestgenomics.com,,https://www.linkedin.com/company/nesthealth,,2023-01-10,Seed,8500000,USD,8500000
"IntuiTap Medical, Inc",https://www.crunchbase.com/organization/intuitap-medical-inc,Health Care,1-10,"Health Care, Medical Device","Chicago, Illinois, United States",IntuiTap Medical is a medical device company that is eliminating the guesswork from spinal taps and epidurals.,"21,711",,"19,377",http://www.intuitapmedical.com,info@intuitapmedical.com,https://www.linkedin.com/company/intuitapmedical-inc.,,2021-12-22,Grant,1000000,USD,1000000
GeniPhys,https://www.crunchbase.com/organization/geniphys,Health Care,1-10,"Health Care, Medical, Medical Device","Zionsville, Indiana, United States",GeniPhys is a medical technology company that plans to develop and commercialize its patented technology.,"21,739",,"19,401",https://www.geniphys.com,info@geniphys.com,https://www.linkedin.com/company/geniphys,317-973-0523,2026-02-13,Venture - Series Unknown,2999910,USD,2999910
First Ascent Biomedical,https://www.crunchbase.com/organization/first-ascent-biomedical,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical, Software","Miami, Florida, United States",First Ascent Biomedical is a biotechnology company that uses artificial intelligence to design individualized treatment plans.,"21,753",,"19,415",https://www.firstascentbiomedical.com,dburruss@firstascentbio.com,https://www.linkedin.com/company/33248181/,,2025-06-05,Grant,350000,USD,350000
Rosy Wellness,https://www.crunchbase.com/organization/rosy,"Community and Lifestyle, Hardware, Health Care, Mobile, Software",1-10,"mHealth, Personal Health, Sex Tech, Wellness, Women's","Dallas, Texas, United States",Rosy Wellness develops a sexual health and wellness app-based platform for women.,"21,892",,"19,544",https://www.meetrosy.com/,hello@meetrosy.com,https://www.linkedin.com/company/meet_rosy/,469-249-2377,2025-04-10,Series A,,,
Describe,https://www.crunchbase.com/organization/describe,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care",,"One platform to manage credentialing, recruitment, scheduling, payroll, and provider metrics.","21,899",,"19,551",https://www.describemedical.com/,team@describemed.com,https://www.linkedin.com/company/describe/,,2024-10-07,Pre-Seed,660000,USD,660000
Fertitude,https://www.crunchbase.com/organization/fertitude,"Community and Lifestyle, Hardware, Health Care, Software",1-10,"Fertility, Health Care, Mental Health, Personal Health, Sex Tech, Wellness","London, England, United Kingdom","Fertitude is an AI reproductive health companion that helps women understand their bodies, take action & connect to human care when needed.","21,902",,"19,554",https://www.fertitude.com/,kieva@fertitude.co,https://www.linkedin.com/company/fertitude/,,2025-12-21,Grant,5000000,NGN,3425
Psyflo,https://www.crunchbase.com/organization/psyflo,"Education, Health Care, Software",1-10,"EdTech, Education, Mental Health","New York, New York, United States",Scaling Mental Health Support For K-12 Schools,"21,925",,"19,576",http://www.psyflo.com,hello@psyflo.com,https://www.linkedin.com/company/psyflocares/?viewAsMember=true,,2025-06-01,Grant,40000,USD,40000
N1 Life,https://www.crunchbase.com/organization/n1-life,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Medical","Milpitas, California, United States",A biotech comany advancing tissue-selective drug delivery platform technologies to revolutionize drug development.,"21,939",,"19,589",https://www.n1life.co/,contact@n1life.co,,,2023-04-17,Seed,10000000,USD,10000000
Happypop,https://www.crunchbase.com/organization/happypop,"Consumer Goods, Food and Beverage, Health Care",1-10,"Consumer Goods, Food and Beverage, Mental Health, Wellness","Culver City, California, United States",Happypop is a beverage company specializing in Mood-Boosting and Clean Energy.,"21,952",,"19,601",https://www.drinkhappypop.com,maya@drinkhappypop.com,https://www.linkedin.com/company/happypop,,2024-07-01,Pre-Seed,250000,USD,250000
Fourth Vital,https://www.crunchbase.com/organization/fourth-vital,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Machine Learning","San Francisco, California, United States",AI-native upstream kidney-risk infrastructure layer detecting kidney function decline before labs and symptoms.,"21,974",,"19,620",https://fourthvital.ai,patanjali@fourthvital.ai,https://www.linkedin.com/company/fourth-vital/,,2026-02-01,Pre-Seed,250000,USD,250000
Tend Health,https://www.crunchbase.com/organization/microbiomx,Health Care,1-10,"Health Care, Medical, Medical Device","Seattle, Washington, United States",Tend Health provides innovative devices and data analysis for understanding and harnessing the power of the gut microbiome.,"21,995",,"19,640",http://tend-health.com,info@tend-health.com,https://www.linkedin.com/company/tend-health-inc,,2023-04-27,Convertible Note,,,
Madison Scientific,https://www.crunchbase.com/organization/madison-scientific,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1-10,"Biotechnology, Manufacturing, Medical Device, Neuroscience","Chicago, Illinois, United States",Madison Scientific develops solutions for optimizing hydrocephalus treatment and creates novel neurological devices.,"22,074",,"19,715",https://madisonscientific.com,info@Madisonscientific.com,https://www.linkedin.com/company/madison-scientific-inc,,2025-09-08,Seed,3000000,USD,3000000
Hipp Health,https://www.crunchbase.com/organization/hipp-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Software, Wellness","San Francisco, California, United States",Hipp Health offers an AI-native platform that streamlines and automates behavioral health practice management operations.,"22,082",,"19,723",https://www.hipp.health,,https://www.linkedin.com/company/hipp-ai,,2025-10-06,Seed,6200000,USD,6200000
Nucleus RadioPharma,https://www.crunchbase.com/organization/nucleus-radiopharma,Health Care,1-10,Health Care,"Rochester, Minnesota, United States",Nucleus RadioPharma is a new company built to ensure cancer patients can access potentially life-saving radiopharmaceuticals.,"22,098",,"19,739",https://www.nucleusrad.com,info@nucleusrad.com,https://www.linkedin.com/company/nucleus-radiopharma,,2024-06-05,Series A,,,
Outrun TX,https://www.crunchbase.com/organization/outrun-tx,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","Dundee, Dundee City, United Kingdom",Outrun TX develops a platform for the identification of therapeutics that selectively target the protein degradation pathway.,"22,109",,"19,750",https://outruntx.com/,info@outruntx.com,https://www.linkedin.com/company/outrun-therapeutics/,,2024-04-18,Seed,10000000,USD,10000000
Alba Health,https://www.crunchbase.com/organization/alba-health-6ea8,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Wellness","Stockholm, Stockholms Lan, Sweden",Alba Health provides digital gut health support to children based on AI and gut microbiome testing.,"22,113",,"19,753",https://www.albahealth.com,hello@albahealth.se,http://linkedin.com/company/alba-health-aps,,2025-05-27,Seed,2500000,USD,2500000
Kinisi,https://www.crunchbase.com/organization/kinisi,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Health Care, Science and Engineering, Software, Sports",1-10,"Artificial Intelligence (AI), Fitness, Health Care, Medical, Sports, Wearables","Campbell, California, United States",Kinisi is a revolutionizing motion health with insights from surgeons who understand the journey to recovery.,"22,120",,"19,760",https://www.kinisi.ai,info@kinisi.ai,https://www.linkedin.com/company/kinisiai,,2024-05-29,Pre-Seed,437000,USD,437000
Mosanna Therapeutics,https://www.crunchbase.com/organization/mosanna-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Pharmaceutical, Therapeutics","Redwood City, California, United States",Mosanna Therapeutics develops a nasal spray for treating obstructive sleep apnea.,"22,150",,"19,788",https://mosanna.com,info@mosanna.com,https://www.linkedin.com/company/mosanna-therapeutics,+1 650 381 9916,2025-06-09,Series A,80000000,USD,80000000
